auc,tpr1,rfpr1,tpr5,rfpr5,tpr10,rfpr10,hits,variant
0.9216625,0.8015,0.015275,0.8640999999999999,0.12153749999999999,0.8912125,0.24971250000000003,8,mean_Mahalanobis+OCSVM
0.9216625,0.8015,0.015275,0.8640999999999999,0.12153749999999999,0.8912125,0.24971250000000003,8,median_Mahalanobis+OCSVM
0.9497249999999999,0.8175625,0.0235625,0.8571875,0.055787500000000004,0.877525,0.0948375,8,or3_Mahalanobis+OCSVM
0.9350375,0.76885,0.0082375,0.8541,0.061012500000000004,0.8865,0.14765,8,rank_Mahalanobis+OCSVM
0.9909875,0.9224249999999999,0.00125,0.9758875,0.0685625,0.9798875,0.256325,8,max_EWMA+MEWMA+MCUSUM
0.992275,0.8807375000000001,0.0,0.9138125,0.0,0.9217375,0.0,8,mean_EWMA+MEWMA+MCUSUM
0.9892,0.870575,0.0055249999999999995,0.976175,0.1282375,0.9803625,0.274275,8,median_EWMA+MEWMA+MCUSUM
0.9909875,0.961425,0.00885,0.9758875,0.0685625,0.9798875,0.256325,8,or3_EWMA+MEWMA+MCUSUM
0.9920125,0.9032375,0.0,0.952825,0.002725,0.9679,0.037750000000000006,8,rank_EWMA+MEWMA+MCUSUM
0.9793000000000001,0.8007875,0.0018,0.945225,0.088,0.9670375,0.279125,8,max_EWMA+MEWMA+CUSUM
0.9840375,0.8008375,0.0019625,0.9592875000000001,0.126775,0.976275,0.29476250000000004,8,mean_EWMA+MEWMA+CUSUM
0.984525,0.8437625,0.005212499999999999,0.96315,0.13937500000000003,0.97685,0.2913875,8,median_EWMA+MEWMA+CUSUM
0.9793000000000001,0.884725,0.00885,0.945225,0.088,0.9670375,0.279125,8,or3_EWMA+MEWMA+CUSUM
0.9717625000000001,0.777575,0.0060625,0.9446,0.1146875,0.9741625,0.3017625,8,rank_EWMA+MEWMA+CUSUM
0.9737125,0.8559249999999999,0.0246875,0.9463625,0.135575,0.96815,0.3121625,8,max_EWMA+MEWMA+KnnDist
0.9769625,0.8572875,0.015175,0.949675,0.207775,0.973275,0.37046250000000003,8,mean_EWMA+MEWMA+KnnDist
0.9833875000000001,0.8531500000000001,0.007475000000000001,0.9626625,0.1885,0.9780500000000001,0.33481249999999996,8,median_EWMA+MEWMA+KnnDist
0.9737125,0.8894,0.04285,0.9463625,0.135575,0.96815,0.3121625,8,or3_EWMA+MEWMA+KnnDist
0.9776625000000001,0.8593500000000001,0.0112875,0.9507125,0.1937625,0.9738375,0.38239999999999996,8,rank_EWMA+MEWMA+KnnDist
0.9783000000000001,0.8578250000000001,0.00725,0.925825,0.0460125,0.9496625000000001,0.12955,8,max_EWMA+MEWMA+Mahalanobis
0.9824875,0.8489,0.0068000000000000005,0.9466125000000001,0.0972375,0.9695,0.232425,8,mean_EWMA+MEWMA+Mahalanobis
0.9792000000000001,0.840075,0.0061875,0.9483125,0.09718750000000001,0.9589000000000001,0.1705875,8,median_EWMA+MEWMA+Mahalanobis
0.9783000000000001,0.8809125,0.0106,0.925825,0.0460125,0.9496625000000001,0.12955,8,or3_EWMA+MEWMA+Mahalanobis
0.9696875,0.8069625,0.006449999999999999,0.9076124999999999,0.0839125,0.941275,0.210275,8,rank_EWMA+MEWMA+Mahalanobis
0.9759500000000001,0.8457749999999999,0.0139125,0.9427000000000001,0.1043875,0.9657125,0.27745,8,max_EWMA+MEWMA+OCSVM
0.9502250000000001,0.8502875000000001,0.013500000000000002,0.9140625,0.1811,0.9366875000000001,0.340725,8,mean_EWMA+MEWMA+OCSVM
0.9827874999999999,0.850875,0.0069500000000000004,0.957925,0.1479125,0.9751375,0.29435,8,median_EWMA+MEWMA+OCSVM
0.9759500000000001,0.8854875,0.027562499999999997,0.9427000000000001,0.1043875,0.9657125,0.27745,8,or3_EWMA+MEWMA+OCSVM
0.957425,0.8499125000000001,0.014637500000000001,0.9230375,0.230775,0.9496375,0.414925,8,rank_EWMA+MEWMA+OCSVM
0.9916375,0.9113374999999999,0.0003,0.9755750000000001,0.1127,0.980375,0.2734375,8,max_EWMA+MCUSUM+CUSUM
0.9922375,0.8826375,0.0,0.9135875,0.0,0.9214249999999999,0.0,8,mean_EWMA+MCUSUM+CUSUM
0.9696625000000001,0.893275,0.0,0.9303250000000001,0.059125,0.9373374999999999,0.10661250000000001,8,median_EWMA+MCUSUM+CUSUM
0.9916375,0.961375,0.00885,0.9755750000000001,0.1127,0.980375,0.2734375,8,or3_EWMA+MCUSUM+CUSUM
0.9925125,0.7890999999999999,0.0,0.950825,0.0024875,0.96165,0.0090375,8,rank_EWMA+MCUSUM+CUSUM
0.9918374999999999,0.9272750000000001,0.005812500000000001,0.976425,0.14795,0.981725,0.306925,8,max_EWMA+MCUSUM+KnnDist
0.9925375,0.8833375000000001,0.0,0.9149,0.0,0.9237375,0.0,8,mean_EWMA+MCUSUM+KnnDist
0.9891375,0.9142625,0.0191,0.971225,0.2108625,0.9791500000000001,0.34606250000000005,8,median_EWMA+MCUSUM+KnnDist
0.9918374999999999,0.9630375,0.04285,0.976425,0.14795,0.981725,0.306925,8,or3_EWMA+MCUSUM+KnnDist
0.9942249999999999,0.8920375,0.0,0.9540375,0.0071625,0.9692999999999999,0.0879875,8,rank_EWMA+MCUSUM+KnnDist
0.9896875,0.9208000000000001,0.0014125000000000001,0.969225,0.037774999999999996,0.9748375,0.0959875,8,max_EWMA+MCUSUM+Mahalanobis
0.9922625,0.8797625,0.0,0.9121125,0.0,0.9211375,0.0,8,mean_EWMA+MCUSUM+Mahalanobis
0.9882500000000001,0.88025,0.006999999999999999,0.9649125000000001,0.1131875,0.9790125000000001,0.2774125,8,median_EWMA+MCUSUM+Mahalanobis
0.9896875,0.95855,0.0106,0.969225,0.037774999999999996,0.9748375,0.0959875,8,or3_EWMA+MCUSUM+Mahalanobis
0.9906875,0.8460874999999999,0.0,0.930275,0.0017375,0.957075,0.0245,8,rank_EWMA+MCUSUM+Mahalanobis
0.991225,0.9240499999999999,0.0033749999999999995,0.9732000000000001,0.10232500000000001,0.9795875,0.266125,8,max_EWMA+MCUSUM+OCSVM
0.9921,0.8819,0.0,0.9134125,0.0,0.921525,0.0,8,mean_EWMA+MCUSUM+OCSVM
0.9685375,0.9130375,0.021249999999999998,0.94865,0.17162500000000003,0.9540500000000001,0.274825,8,median_EWMA+MCUSUM+OCSVM
0.991225,0.9592,0.027562499999999997,0.9732000000000001,0.10232500000000001,0.9795875,0.266125,8,or3_EWMA+MCUSUM+OCSVM
0.9857875,0.8726499999999999,0.0,0.9422125,0.010062499999999999,0.9588500000000001,0.1028375,8,rank_EWMA+MCUSUM+OCSVM
0.980375,0.8144,0.0072875,0.959225,0.16902499999999998,0.9774625,0.324175,8,max_EWMA+CUSUM+KnnDist
0.976375,0.8223875,0.005925,0.9440375000000001,0.19466250000000002,0.970975,0.3580875,8,mean_EWMA+CUSUM+KnnDist
0.9624124999999999,0.85945,0.0127625,0.9218875000000001,0.20858749999999998,0.9434625,0.34835,8,median_EWMA+CUSUM+KnnDist
0.980375,0.8925625,0.04285,0.959225,0.16902499999999998,0.9774625,0.324175,8,or3_EWMA+CUSUM+KnnDist
0.966375,0.7805625,0.012875000000000001,0.9359625,0.1675,0.96645,0.3468875,8,rank_EWMA+CUSUM+KnnDist
0.9797875,0.79845,0.0019874999999999997,0.9258249999999999,0.0436,0.9472,0.1030875,8,max_EWMA+CUSUM+Mahalanobis
0.9826,0.794125,0.0018625,0.941125,0.084925,0.9671624999999999,0.2108125,8,mean_EWMA+CUSUM+Mahalanobis
0.978175,0.8192375,0.0060125000000000005,0.9359999999999999,0.118325,0.9740125000000001,0.2936375,8,median_EWMA+CUSUM+Mahalanobis
0.9797875,0.8842125,0.0106,0.9258249999999999,0.0436,0.9472,0.1030875,8,or3_EWMA+CUSUM+Mahalanobis
0.9623375000000001,0.764725,0.0064,0.8863749999999999,0.07110000000000001,0.9242375,0.164,8,rank_EWMA+CUSUM+Mahalanobis
0.9817499999999999,0.8139625,0.0040125,0.9531125,0.12391249999999998,0.9745625,0.28231249999999997,8,max_EWMA+CUSUM+OCSVM
0.949375,0.8290625,0.0050875,0.9103125000000001,0.1609375,0.9328624999999999,0.321,8,mean_EWMA+CUSUM+OCSVM
0.9312750000000001,0.85645,0.0127125,0.8879,0.16875,0.901875,0.2807125,8,median_EWMA+CUSUM+OCSVM
0.9817499999999999,0.8885000000000001,0.027562499999999997,0.9531125,0.12391249999999998,0.9745625,0.28231249999999997,8,or3_EWMA+CUSUM+OCSVM
0.9458125,0.7724,0.012675,0.9099250000000001,0.1782375,0.9367125000000001,0.367475,8,rank_EWMA+CUSUM+OCSVM
0.974175,0.8575375000000001,0.026575,0.9316,0.0967125,0.9495375,0.14576250000000002,8,max_EWMA+KnnDist+Mahalanobis
0.9731000000000001,0.8445875,0.0166375,0.9330375,0.1642,0.9615875,0.30798749999999997,8,mean_EWMA+KnnDist+Mahalanobis
